2016-02-15T18:23:42.450+0800: 19.165: [GC [PSYoungGen: 1048640K->24514K(1223360K)] 1048640K->24514K(4019584K), 0.1037750 secs] [Times: user=0.30 sys=0.01, real=0.11 secs] 
2016-02-15T18:23:48.661+0800: 25.376: [GC [PSYoungGen: 1073154K->35336K(1223360K)] 1073154K->35336K(4019584K), 0.0746710 secs] [Times: user=0.26 sys=0.01, real=0.08 secs] 
2016-02-15T18:23:51.845+0800: 28.559: [GC [PSYoungGen: 1083976K->42869K(1223360K)] 1083976K->42869K(4019584K), 0.0870290 secs] [Times: user=0.33 sys=0.01, real=0.09 secs] 
2016-02-15T18:23:56.596+0800: 33.310: [GC [PSYoungGen: 1091509K->59654K(1223360K)] 1091509K->59654K(4019584K), 0.0740360 secs] [Times: user=0.28 sys=0.02, real=0.07 secs] 
2016-02-15T18:24:08.282+0800: 44.997: [GC [PSYoungGen: 1108294K->95795K(1223360K)] 1108294K->95795K(4019584K), 0.2713660 secs] [Times: user=0.96 sys=0.11, real=0.28 secs] 
2016-02-15T18:24:44.494+0800: 81.208: [GC [PSYoungGen: 1144435K->98026K(1254976K)] 1144435K->104822K(4051200K), 0.1783650 secs] [Times: user=0.59 sys=0.07, real=0.18 secs] 
2016-02-15T18:25:20.443+0800: 117.158: [GC [PSYoungGen: 1254954K->74832K(1277504K)] 1261750K->115774K(4073728K), 0.1390840 secs] [Times: user=0.45 sys=0.04, real=0.14 secs] 
2016-02-15T18:26:14.872+0800: 171.587: [GC [PSYoungGen: 1231760K->52459K(1283584K)] 1272702K->118192K(4079808K), 0.1079050 secs] [Times: user=0.35 sys=0.00, real=0.11 secs] 
2016-02-15T18:26:59.353+0800: 216.067: [GC [PSYoungGen: 1216555K->18058K(1278592K)] 1282288K->121016K(4074816K), 0.0918630 secs] [Times: user=0.17 sys=0.02, real=0.09 secs] 
2016-02-15T18:27:54.605+0800: 271.319: [GC [PSYoungGen: 1182154K->16431K(1280000K)] 1285112K->123262K(4076224K), 0.0294100 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-02-15T18:28:35.695+0800: 312.409: [GC [PSYoungGen: 1179887K->14096K(1280768K)] 1286718K->122827K(4076992K), 0.0293750 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T18:29:26.828+0800: 363.543: [GC [PSYoungGen: 1177552K->15548K(1282048K)] 1286283K->124724K(4078272K), 0.0301050 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:30:17.424+0800: 414.139: [GC [PSYoungGen: 1180284K->12736K(1280768K)] 1289460K->122819K(4076992K), 0.0248070 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:31:12.839+0800: 469.553: [GC [PSYoungGen: 1177472K->14832K(1286272K)] 1287555K->125609K(4082496K), 0.0283020 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:32:11.357+0800: 528.071: [GC [PSYoungGen: 1186672K->13961K(1283648K)] 1297449K->124955K(4079872K), 0.0285200 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:33:05.152+0800: 581.867: [GC [PSYoungGen: 1185801K->13463K(1292480K)] 1296795K->125596K(4088704K), 0.0235840 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T18:34:00.800+0800: 637.514: [GC [PSYoungGen: 1197079K->14192K(1289216K)] 1309212K->126686K(4085440K), 0.0284180 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:35:00.446+0800: 697.161: [GC [PSYoungGen: 1197808K->14803K(1300160K)] 1310302K->127750K(4096384K), 0.0269420 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:35:58.993+0800: 755.707: [GC [PSYoungGen: 1213075K->12995K(1296192K)] 1326022K->126475K(4092416K), 0.0252150 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:36:54.311+0800: 811.025: [GC [PSYoungGen: 1211267K->14656K(1307968K)] 1324747K->128524K(4104192K), 0.0263310 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:37:52.342+0800: 869.056: [GC [PSYoungGen: 1228416K->12576K(1303872K)] 1342284K->126724K(4100096K), 0.0241060 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T18:38:48.335+0800: 925.050: [GC [PSYoungGen: 1226336K->13168K(1315584K)] 1340484K->127522K(4111808K), 0.0241120 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:39:51.058+0800: 987.772: [GC [PSYoungGen: 1242416K->13696K(1311744K)] 1356770K->128214K(4107968K), 0.0266280 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:40:44.644+0800: 1041.359: [GC [PSYoungGen: 1242944K->13486K(1323328K)] 1357462K->128381K(4119552K), 0.0266450 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:41:43.164+0800: 1099.879: [GC [PSYoungGen: 1258222K->14368K(1319488K)] 1373117K->129884K(4115712K), 0.0271290 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:42:42.320+0800: 1159.034: [GC [PSYoungGen: 1259104K->13969K(1330752K)] 1374620K->129742K(4126976K), 0.0268150 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:43:40.473+0800: 1217.187: [GC [PSYoungGen: 1273745K->14844K(1327104K)] 1389518K->130887K(4123328K), 0.0267060 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T18:44:36.468+0800: 1273.182: [GC [PSYoungGen: 1274620K->13152K(1337408K)] 1390663K->130095K(4133632K), 0.0257880 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2016-02-15T18:45:41.554+0800: 1338.268: [GC [PSYoungGen: 1286816K->15492K(1334336K)] 1403759K->132744K(4130560K), 0.0279760 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:46:48.977+0800: 1405.691: [GC [PSYoungGen: 1289156K->16896K(1344256K)] 1406408K->134581K(4140480K), 0.0309230 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:47:43.617+0800: 1460.332: [GC [PSYoungGen: 1303872K->13945K(1340800K)] 1421557K->131892K(4137024K), 0.0240630 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T18:48:44.508+0800: 1521.223: [GC [PSYoungGen: 1300921K->15040K(1349568K)] 1418868K->133406K(4145792K), 0.0273340 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T18:49:48.078+0800: 1584.792: [GC [PSYoungGen: 1313408K->15072K(1346880K)] 1431774K->133691K(4143104K), 0.0281070 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:50:44.608+0800: 1641.322: [GC [PSYoungGen: 1313440K->13104K(1354048K)] 1432059K->132375K(4150272K), 0.0247570 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:51:36.265+0800: 1692.980: [GC [PSYoungGen: 1321136K->13440K(1352064K)] 1440407K->133171K(4148288K), 0.0254410 secs] [Times: user=0.03 sys=0.01, real=0.03 secs] 
2016-02-15T18:52:34.378+0800: 1751.092: [GC [PSYoungGen: 1321472K->14579K(1358144K)] 1441203K->134415K(4154368K), 0.0253300 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
